experiment_id	display_name	task	role	objective	training_code	inference_or_analysis_code	config	data	checkpoint	result	seeds	status
K562-BL-SCOUTER	Scouter	k562_only	baseline	LLM-embedding perturbation baseline	baselines/Scouter	scripts/evaluation/shared/native_metrics.py		data/k562_only/pathway5000		results/baselines/k562_only/Scouter	NA	result_bundle_complete
K562-BL-GO-NN5	GO nearest-5 cloud	k562_only	baseline	Test GO nearest-neighbour retrieval		scripts/evaluation/shared/gge_metrics.py		data/k562_only/pathway5000		results/baselines/k562_only/GO_nearest_5	NA	diagnostic_result_only
XCL-AE-PATHWAY	Cross-cell pathway PatchAE	cross_cell_line	component	Reconstruct shared 3352-gene expression	scripts/training/exact_historical/cross_cell_line/train_patch_autoencoder_train_only.py		configs/cross_cell_line/patchae_paper_exact.json	data/cross_cell_line/pathway3352/fold_0	artifacts/checkpoints/cross_cell_line/patchae_pathway3352		20260426	complete_exact_historical_code
XCL-MAIN	K562-held-out cross-cell scPLAD	cross_cell_line	main	Transfer responses from RPE1 HepG2 and Jurkat to K562 context	scripts/training/exact_historical/cross_cell_line/train_drdd_lite_fixed_noise_weighted_prior_ddp.py	scripts/inference/cross_cell_line/generate_and_evaluate.py	configs/cross_cell_line/drdd_paper_exact.json;configs/cross_cell_line/config.json	data/cross_cell_line/pathway3352/fold_0;data/priors/cross_cell_line_bioprior	artifacts/checkpoints/cross_cell_line/main/seed*	results/cross_cell_line/main/seed*	20260601,20260713,20260714	complete_exact_historical_code
XCL-BL-STATE	STATE 20k	cross_cell_line	baseline	Cross-cell perturbation prediction baseline	baselines/STATE		baselines/STATE/examples/zeroshot.toml	data/cross_cell_line/pathway3352/fold_0	artifacts/checkpoints/cross_cell_line/STATE	results/baselines/cross_cell_line/STATE*	42	result_bundle_complete
XCL-BL-TXPERT	TxPert cross-cell	cross_cell_line	baseline	Cross-cell direction and response-gene baseline	baselines/TxPert/main.py	baselines/TxPert/eval_quick_corr_official_predictions.py	baselines/TxPert/configs/config-x-cell-gat.yaml	data/cross_cell_line/pathway3352/fold_0		results/baselines/cross_cell_line/TxPert	NA	result_bundle_complete
XCL-DIAG-COVERAGE	Source coverage stratification	cross_cell_line	diagnostic	Stratify performance by source observation count		scripts/evaluation/shared/native_metrics.py		data/cross_cell_line/pathway3352/fold_0		results/cross_cell_line/analysis/context_coverage_k562_perturbations_v1;results/cross_cell_line/summary_tables	three_main_seeds	diagnostic_result_only
XCL-DIAG-INTERACTION-CONTEXT	Prior-interaction background ablation	cross_cell_line	diagnostic	Replace the interaction background for 506 source-coverage-0 K562 perturbations while retaining the target control context		scripts/inference/cross_cell_line/generate_and_evaluate.py		data/cross_cell_line/pathway3352/fold_0		results/cross_cell_line/analysis/context_background_ablation_20260729	20260601,20260713,20260714	complete_diagnostic
XCL-DIAG-DIRECT-SOURCE	Direct source expression transfer	cross_cell_line	baseline	Transfer observed source perturbation clouds		scripts/evaluation/cross_cell_line/source_expression_baseline.py		data/cross_cell_line/pathway3352/fold_0		results/cross_cell_line/analysis/direct_source_perturbation_expression_*	NA	complete_diagnostic
XCL-CASE-HSPA9	HSPA9 causal target case	cross_cell_line	case_study	Compare causal targets and response-gene correlation		manuscript_figure_scripts		data/cross_cell_line/pathway3352/fold_0		results/cross_cell_line/case_studies/hspa9_*;results/cross_cell_line/analysis/hspa9_csa_heatmap_20260721	three_main_seeds	case_study_result_only
