cell_line,condition,n_cells
RPE1,EIF4H,148
RPE1,EIF6,57
RPE1,ELL,168
RPE1,ELOB,126
RPE1,ELOF1,150
RPE1,ELP2,72
RPE1,ELP6,79
RPE1,EMC7,134
RPE1,ENY2,79
RPE1,ERCC2,94
RPE1,ESPL1,26
RPE1,ESYT1,57
RPE1,ESYT2,49
RPE1,ETF1,84
RPE1,EWSR1,88
RPE1,EXOC1,46
RPE1,EXOC2,85
RPE1,EXOC3,52
RPE1,EXOC4,27
RPE1,EXOC5,91
RPE1,EXOC7,32
RPE1,EXOSC1,46
RPE1,EXOSC2,42
RPE1,EXOSC3,54
RPE1,EXOSC7,43
RPE1,FAM136A,504
RPE1,FAM32A,44
RPE1,FARSA,57
RPE1,FASN,71
RPE1,FBRSL1,77
RPE1,FBXL14,91
RPE1,FBXO42,876
RPE1,FBXW7,197
RPE1,FEN1,47
RPE1,FKBP9,42
RPE1,FNBP4,114
RPE1,FOXO1,65
RPE1,FOXS1,88
RPE1,FTSJ3,41
RPE1,FUNDC2,41
RPE1,FXN,33
RPE1,FYN,146
RPE1,GABPB1,48
RPE1,GARS,99
RPE1,GART,45
RPE1,GBF1,93
RPE1,GEMIN4,79
RPE1,GEMIN6,45
RPE1,GEMIN8,45
RPE1,GET3,161
RPE1,GFER,67
RPE1,GFM1,1669
RPE1,GFOD2,123
RPE1,GGPS1,52
RPE1,GINS2,57
RPE1,GIT2,48
RPE1,GLE1,81
RPE1,GLRX3,79
RPE1,GMIP,140
RPE1,GNL3,34
RPE1,GON4L,107
RPE1,GPN2,37
RPE1,GPN3,34
RPE1,GRB2,112
RPE1,GRSF1,122
RPE1,GRWD1,69
RPE1,GSK3B,84
RPE1,GTF2E1,46
RPE1,GTF2F2,55
RPE1,GTF2H2,47
RPE1,GTF2H3,66
RPE1,GTF3A,32
RPE1,GTF3C2,77
RPE1,GTF3C4,889
RPE1,GTF3C5,103
RPE1,GYG1,284
RPE1,H2AFZ,263
RPE1,HAUS1,48
RPE1,HAUS3,37
RPE1,HAUS5,90
RPE1,HAUS6,61
RPE1,HAUS7,117
RPE1,HAUS8,169
RPE1,HBS1L,45
RPE1,HDAC7,86
RPE1,HERC1,90
RPE1,HEXIM1,48
RPE1,HGS,44
RPE1,HIPK1,69
RPE1,HJURP,116
RPE1,HMGA1,67
RPE1,HMGB3,91
RPE1,HMGCS1,259
RPE1,HMX3,54
RPE1,HNRNPH1,145
RPE1,HNRNPK,69
RPE1,HNRNPR,51
RPE1,HPS5,39
RPE1,HSCB,227
RPE1,HSD17B10,809
RPE1,HSPA14,104
RPE1,HSPA5,64
RPE1,HSPA9,94
RPE1,HSPE1,98
RPE1,HSPH1,25
RPE1,HTATSF1,57
RPE1,HYOU1,64
RPE1,IARS,32
RPE1,ICE1,61
RPE1,IGBP1,71
RPE1,IK,191
RPE1,ILF2,54
RPE1,IMPA2,40
RPE1,INF2,115
RPE1,ING3,133
RPE1,INO80B,80
RPE1,INO80C,147
RPE1,INO80D,58
RPE1,INO80E,79
RPE1,INPPL1,108
RPE1,INTS10,90
RPE1,INTS13,288
RPE1,INTS3,65
RPE1,INTS4,50
RPE1,INTS9,27
RPE1,IPO11,77
RPE1,IPO7,45
RPE1,IPO9,106
RPE1,IRF2BP2,76
RPE1,ISCA2,143
RPE1,ISCU,20
RPE1,IST1,182
RPE1,ISY1,40
RPE1,JMJD6,183
RPE1,KANSL1,27
RPE1,KARS,26
RPE1,KAT8,53
RPE1,KCMF1,42
RPE1,KDM1A,178
RPE1,KDM6A,213
RPE1,KIAA0586,52
RPE1,KIF18A,26
RPE1,KIF18B,34
RPE1,KLF7,46
RPE1,KPNB1,180
RPE1,KRI1,43
RPE1,LAMTOR1,321
RPE1,LAMTOR3,38
RPE1,LAS1L,41
RPE1,LDB1,78
RPE1,LETM1,153
RPE1,LMO2,268
RPE1,LRP5,104
RPE1,LRR1,47
RPE1,LSG1,60
RPE1,LSM12,111
RPE1,LSM3,48
RPE1,LSM4,68
RPE1,LSM5,72
RPE1,LSM6,44
RPE1,LSM7,44
RPE1,MAD2L1,95
RPE1,MAD2L2,229
RPE1,MARS,31
RPE1,MASTL,28
RPE1,MAX,85
RPE1,MBD3,187
RPE1,MBIP,34
RPE1,MBNL1,37
RPE1,MBTPS1,184
RPE1,MBTPS2,151
RPE1,MCM2,41
RPE1,MCM3,179
RPE1,MCM3AP,70
RPE1,MCM4,36
RPE1,MCM6,120
RPE1,MED11,32
RPE1,MED16,44
RPE1,MED18,35
RPE1,MED19,195
RPE1,MED22,29
RPE1,MED24,34
RPE1,MED29,29
RPE1,MED4,59
RPE1,MEN1,99
RPE1,METAP1,55
RPE1,MIOS,130
RPE1,MIS12,25
RPE1,MIS18BP1,33
RPE1,MLST8,93
RPE1,MMP17,61
RPE1,MMS19,86
RPE1,MNAT1,76
RPE1,MON1A,172
RPE1,MPHOSPH10,27
RPE1,MRGBP,32
RPE1,MRM1,29
RPE1,MRPL34,159
RPE1,MRPL36,1565
RPE1,MRPL38,256
RPE1,MRPS14,30
RPE1,MRPS33,89
RPE1,MRTO4,14
RPE1,MTBP,86
RPE1,MYBBP1A,31
RPE1,MYBL2,877
RPE1,MYSM1,106
RPE1,NAA10,58
RPE1,NAA20,89
RPE1,NAA35,308
RPE1,NAA50,53
RPE1,NACA,25
RPE1,NAF1,60
RPE1,NCAPG,28
RPE1,NCAPG2,39
RPE1,NCAPH,36
RPE1,NCAPH2,60
RPE1,NCBP1,28
RPE1,NCBP2,34
RPE1,NDC1,109
RPE1,NDC80,94
RPE1,NDUFA2,29
RPE1,NDUFA3,169
RPE1,NELFA,60
RPE1,NELFCD,111
RPE1,NFKBIE,62
RPE1,NFRKB,148
RPE1,NFS1,56
RPE1,NFYB,78
RPE1,NFYC,111
RPE1,NHP2,44
RPE1,NKAPD1,117
RPE1,NOC3L,40
RPE1,NOL11,29
RPE1,NOL12,28
RPE1,NOL7,44
RPE1,NOL8,37
RPE1,NOMO1,69
RPE1,NOMO3,115
RPE1,NOP9,39
RPE1,NPM1,40
RPE1,NRBP1,149
RPE1,NRDE2,46
RPE1,NRF1,54
RPE1,NSF,62
RPE1,NSL1,51
RPE1,NSMCE2,73
RPE1,NSRP1,40
RPE1,NUB1,144
RPE1,NUBP1,37
RPE1,NUBP2,88
RPE1,NUDT15,69
RPE1,NUF2,58
RPE1,NUP133,106
RPE1,NUP160,62
RPE1,NUP205,52
RPE1,NUP35,64
RPE1,NUP43,71
RPE1,NUP54,79
RPE1,NUP85,74
RPE1,NUTF2,55
RPE1,OGFOD1,52
RPE1,OPA1,60
RPE1,ORC1,56
RPE1,ORC3,57
RPE1,ORC4,159
RPE1,ORC6,33
RPE1,OSGEP,69
RPE1,OSTC,28
RPE1,PABPC1,77
RPE1,PABPC4,75
RPE1,PABPN1,36
RPE1,PAF1,67
RPE1,PAFAH1B1,26
RPE1,PALB2,36
RPE1,PAM16,72
RPE1,PARN,153
RPE1,PARS2,292
RPE1,PAXBP1,138
RPE1,PCBP2,182
RPE1,PCID2,145
RPE1,PCM1,27
RPE1,PCNX3,171
RPE1,PDAP1,36
RPE1,PDCD2,29
RPE1,PDCD5,132
RPE1,PDCD7,32
RPE1,PDHA1,27
RPE1,PDRG1,27
RPE1,PELP1,70
RPE1,PET117,154
RPE1,PEX19,68
RPE1,PFDN2,39
RPE1,PGAM1,115
RPE1,PGAM5,173
RPE1,PGK1,110
RPE1,PGS1,95
RPE1,PHAX,108
RPE1,PHB2,57
RPE1,PHF10,124
RPE1,PI4KA,68
RPE1,PIGH,40
RPE1,PIK3R4,68
RPE1,PLK4,174
RPE1,PMPCB,145
RPE1,PNKP,54
RPE1,PNN,66
RPE1,POGLUT3,768
RPE1,POLA1,53
RPE1,POLA2,43
RPE1,POLD2,97
RPE1,POLD3,45
RPE1,POLR1C,177
RPE1,POLR2F,53
RPE1,POLR2I,143
RPE1,POLR2M,172
RPE1,POLR3D,30
RPE1,POLR3E,40
RPE1,POLR3F,37
RPE1,POLR3H,50
RPE1,POLRMT,212
RPE1,POP4,40
RPE1,POP5,37
RPE1,POP7,56
RPE1,POU3F1,133
RPE1,PPA1,130
RPE1,PPARGC1B,77
RPE1,PPIE,25
RPE1,PPIH,36
RPE1,PPIL2,37
RPE1,PPIL4,86
RPE1,PPP1R10,23
RPE1,PPP1R11,47
RPE1,PPP1R15B,60
RPE1,PPP1R2,80
RPE1,PPP1R37,347
RPE1,PPP1R7,39
RPE1,PPP1R8,142
RPE1,PPP2CA,94
RPE1,PPP2CB,92
RPE1,PPP2R1A,215
RPE1,PPP2R3C,128
RPE1,PPP4R2,68
RPE1,PPP6C,1539
RPE1,PPWD1,47
RPE1,PRDM10,54
RPE1,PRDM8,28
RPE1,PRIM2,31
RPE1,PRKCA,107
RPE1,PRKRA,50
RPE1,PRMT1,36
RPE1,PRMT5,126
RPE1,PRORP,151
RPE1,PRPF18,59
RPE1,PRPF38A,36
RPE1,PRRC2A,147
RPE1,PSMA2,18
RPE1,PSMA3,35
RPE1,PSMA6,21
RPE1,PSMB2,49
RPE1,PSMB3,35
RPE1,PSMB4,25
RPE1,PSMB6,57
RPE1,PSMC1,68
RPE1,PSMC2,34
RPE1,PSMC4,26
RPE1,PSMC5,85
RPE1,PSMD1,21
RPE1,PSMD11,16
RPE1,PSMD12,15
RPE1,PSMD4,22
RPE1,PSMD6,26
RPE1,PSTK,262
RPE1,PTCD1,71
RPE1,PTGR2,98
RPE1,PTK2,75
RPE1,PTPMT1,100
RPE1,PTPN1,93
RPE1,PTPN23,33
RPE1,PUM1,76
RPE1,PXN,128
RPE1,PYROXD1,130
RPE1,QARS,78
RPE1,RAB18,45
RPE1,RAB4A,176
RPE1,RAB4B,229
RPE1,RAB6A,83
RPE1,RABGGTA,189
RPE1,RABGGTB,105
RPE1,RAC3,127
RPE1,RAD17,57
RPE1,RAD21,31
RPE1,RAD9A,149
RPE1,RAMAC,60
RPE1,RAN,50
RPE1,RANBP2,35
RPE1,RARS2,132
RPE1,RBBP4,48
RPE1,RBM10,128
RPE1,RBM15,213
RPE1,RBM17,40
RPE1,RBM25,32
RPE1,RBM33,95
RPE1,RBM39,41
RPE1,RBM42,46
RPE1,RBM48,33
RPE1,RBMX,23
RPE1,RCL1,38
RPE1,RELL2,49
RPE1,RFC2,77
RPE1,RFC4,35
RPE1,RFC5,42
RPE1,RINT1,72
RPE1,RNASEH2C,129
RPE1,RNF103,72
RPE1,RNF113A,59
RPE1,RNF20,147
RPE1,RNF8,209
RPE1,RNMT,69
RPE1,RNPS1,27
RPE1,RPA1,64
RPE1,RPAIN,26
RPE1,RPAP1,37
RPE1,RPE,56
RPE1,RPIA,35
RPE1,RPL10,71
RPE1,RPL11,57
RPE1,RPL12,73
RPE1,RPL14,42
RPE1,RPL17,59
RPE1,RPL18,56
RPE1,RPL21,27
RPE1,RPL23A,43
RPE1,RPL26,49
RPE1,RPL29,34
RPE1,RPL32,64
RPE1,RPL34,31
RPE1,RPL35,66
RPE1,RPL35A,96
RPE1,RPL37A,68
RPE1,RPL38,27
RPE1,RPL39,40
RPE1,RPL4,60
RPE1,RPL5,57
RPE1,RPL7,117
RPE1,RPL9,42
RPE1,RPLP0,96
RPE1,RPN2,64
RPE1,RPP21,124
RPE1,RPP30,36
RPE1,RPRD1B,70
RPE1,RPS10,17
RPE1,RPS15,40
RPE1,RPS15A,26
RPE1,RPS19BP1,25
RPE1,RPS2,50
RPE1,RPS20,29
RPE1,RPS24,32
RPE1,RPS27,55
RPE1,RPS27A,65
RPE1,RPS29,41
RPE1,RPS3,42
RPE1,RPS3A,36
RPE1,RPS6,49
RPE1,RPS8,33
RPE1,RPTOR,30
RPE1,RPUSD3,111
RPE1,RRM2,191
RPE1,RRN3,42
RPE1,RRP12,28
RPE1,RSL1D1,75
RPE1,RTEL1,305
RPE1,RTF1,44
RPE1,RUVBL1,103
RPE1,RUVBL2,60
RPE1,SAMD4B,84
RPE1,SAMM50,43
RPE1,SAP30BP,34
RPE1,SARS2,108
RPE1,SART3,233
RPE1,SASS6,49
RPE1,SBDS,74
RPE1,SBNO1,156
RPE1,SCAF1,62
RPE1,SCAP,78
RPE1,SCFD1,62
RPE1,SDAD1,36
RPE1,SDC1,78
RPE1,SDE2,53
RPE1,SDHAF2,190
RPE1,SDHC,47
RPE1,SEC16A,210
RPE1,SENP6,20
RPE1,SEPSECS,168
RPE1,SETD1A,78
RPE1,SETD5,85
RPE1,SETDB1,121
RPE1,SF1,29
RPE1,SF3A2,136
RPE1,SF3B5,62
RPE1,SFPQ,76
RPE1,SFSWAP,29
RPE1,SH3KBP1,16
RPE1,SHOC2,55
RPE1,SHQ1,149
RPE1,SIRT7,237
RPE1,SKA3,63
RPE1,SLBP,35
RPE1,SLC1A5,1877
RPE1,SLC25A42,53
RPE1,SLC2A8,53
RPE1,SLC35B1,42
RPE1,SLC35G2,387
RPE1,SLC39A9,115
RPE1,SLC7A6OS,106
RPE1,SLU7,72
RPE1,SMAGP,170
RPE1,SMARCC1,76
RPE1,SMC1A,88
RPE1,SMC3,21
RPE1,SMC4,38
RPE1,SMG1,32
RPE1,SMG5,462
RPE1,SMG6,123
RPE1,SMG7,143
RPE1,SMN2,424
RPE1,SMNDC1,79
RPE1,SMU1,77
RPE1,SNAPC1,48
RPE1,SNIP1,46
RPE1,SNRNP200,95
RPE1,SNRNP40,217
RPE1,SNRNP70,39
RPE1,SNRPA,35
RPE1,SNRPB,38
RPE1,SNRPC,96
RPE1,SNRPD1,42
RPE1,SNRPD2,20
RPE1,SNRPD3,34
RPE1,SNRPF,34
RPE1,SNTB2,54
RPE1,SNW1,88
RPE1,SP1,189
RPE1,SP2,72
RPE1,SPC24,69
RPE1,SPCS3,128
RPE1,SPEN,104
RPE1,SPG7,115
RPE1,SRA1,161
RPE1,SRBD1,53
RPE1,SRCAP,110
RPE1,SRP19,37
RPE1,SRP9,130
RPE1,SRRM1,53
RPE1,SRRM2,56
RPE1,SRSF1,27
RPE1,SRSF10,111
RPE1,SRSF3,25
RPE1,SRSF7,137
RPE1,SSU72,226
RPE1,STAG2,110
RPE1,STAT5B,173
RPE1,STIL,68
RPE1,STRAP,66
RPE1,STX5,68
RPE1,SUGP1,27
RPE1,SUMO2,34
RPE1,SUPT16H,26
RPE1,SUPT20H,179
RPE1,SURF6,33
RPE1,SYNGR3,77
RPE1,TADA1,138
RPE1,TADA2A,117
RPE1,TADA2B,82
RPE1,TADA3,60
RPE1,TAF10,23
RPE1,TAF11,113
RPE1,TAF13,182
RPE1,TAF6,75
RPE1,TAF7,38
RPE1,TARDBP,1603
RPE1,TBCB,37
RPE1,TBCE,125
RPE1,TBPL1,100
RPE1,TCERG1,60
RPE1,TCOF1,32
RPE1,TELO2,47
RPE1,TERF2,61
RPE1,TFAM,3458
RPE1,TGS1,60
RPE1,THAP11,144
RPE1,THOC7,146
RPE1,THRAP3,119
RPE1,TIMM10,108
RPE1,TIMM13,114
RPE1,TIMM22,31
RPE1,TIMM23B,343
RPE1,TIMM44,50
RPE1,TIMM9,37
RPE1,TLN1,29
RPE1,TMED2,70
RPE1,TMEM214,687
RPE1,TMEM242,597
RPE1,TMEM258,62
RPE1,TMX2,137
RPE1,TNRC6A,106
RPE1,TOMM20,63
RPE1,TOMM22,103
RPE1,TONSL,43
RPE1,TOP1,36
RPE1,TOP3A,62
RPE1,TOX4,160
RPE1,TP53I13,141
RPE1,TP53RK,85
RPE1,TPR,116
RPE1,TPRKB,126
RPE1,TPX2,25
RPE1,TRA2B,90
RPE1,TRAIP,59
RPE1,TRAPPC1,76
RPE1,TRAPPC11,230
RPE1,TRAPPC3,73
RPE1,TRAPPC4,24
RPE1,TRAPPC5,101
RPE1,TRAPPC8,32
RPE1,TREX2,384
RPE1,TRIAP1,37
RPE1,TRMT112,58
RPE1,TRMT5,59
RPE1,TRNT1,347
RPE1,TSEN2,85
RPE1,TSEN54,73
RPE1,TSG101,54
RPE1,TSPYL5,47
RPE1,TSR1,145
RPE1,TTC1,116
RPE1,TTC4,124
RPE1,TTF2,66
RPE1,TTI1,80
RPE1,TTK,76
RPE1,TUBA1B,197
RPE1,TUBB2A,149
RPE1,TUBGCP2,154
RPE1,TUBGCP3,69
RPE1,TUBGCP4,95
RPE1,TUBGCP5,94
RPE1,TUBGCP6,31
RPE1,TXNL4A,23
RPE1,TYK2,58
RPE1,U2AF1,83
RPE1,U2SURP,35
RPE1,UBA1,61
RPE1,UBA3,59
RPE1,UBA5,68
RPE1,UBA52,110
RPE1,UBAP1,30
RPE1,UBE2L3,118
RPE1,UBE2N,103
RPE1,UBE3C,84
RPE1,UBE3D,143
RPE1,UBL5,114
RPE1,UBQLN4,46
RPE1,UBR4,72
RPE1,UBR5,102
RPE1,UBTF,132
RPE1,UCHL5,84
RPE1,UFM1,43
RPE1,UHRF1,103
RPE1,UNC45A,82
RPE1,UPF1,46
RPE1,UPF2,104
RPE1,UPF3A,31
RPE1,UQCRB,98
RPE1,UQCRFS1,27
RPE1,UQCRQ,63
RPE1,URB1,27
RPE1,URM1,64
RPE1,UROD,239
RPE1,USP10,75
RPE1,USP14,171
RPE1,USP39,98
RPE1,USP7,38
RPE1,USP8,45
RPE1,USPL1,36
RPE1,UTP20,31
RPE1,UTP23,48
RPE1,UXT,62
RPE1,VCP,16
RPE1,VHL,61
RPE1,VPS13D,94
RPE1,VPS18,78
RPE1,VPS25,101
RPE1,VPS33A,64
RPE1,VPS41,246
RPE1,VPS54,230
RPE1,WAC,91
RPE1,WARS,57
RPE1,WBP11,109
RPE1,WDHD1,40
RPE1,WDR1,26
RPE1,WDR12,41
RPE1,WDR18,68
RPE1,WDR24,44
RPE1,WDR25,38
RPE1,WDR26,46
RPE1,WDR33,32
RPE1,WDR4,140
RPE1,WDR44,89
RPE1,WDR61,59
RPE1,WDTC1,70
RPE1,WEE1,67
RPE1,WNK1,97
RPE1,WTAP,351
RPE1,XPO5,162
RPE1,XRCC5,54
RPE1,XRN1,48
RPE1,YARS,85
RPE1,YBX3,48
RPE1,YEATS2,69
RPE1,YKT6,51
RPE1,YPEL5,73
RPE1,YTHDC1,184
RPE1,YY1,62
RPE1,ZBTB14,58
RPE1,ZBTB17,282
RPE1,ZBTB44,76
RPE1,ZC3H13,102
RPE1,ZC3H18,59
RPE1,ZC3H3,102
RPE1,ZC3H4,69
RPE1,ZCRB1,75
RPE1,ZDHHC7,388
RPE1,ZFC3H1,83
RPE1,ZMAT2,192
RPE1,ZMAT5,50
RPE1,ZNF236,101
RPE1,ZNF292,129
RPE1,ZNF559,57
RPE1,ZNF574,154
RPE1,ZNF718,400
RPE1,ZNF787,34
RPE1,ZNF84,63
RPE1,ZNHIT1,34
RPE1,ZNHIT2,79
RPE1,ZNHIT3,75
RPE1,ZRSR2,216
RPE1,ZWINT,49
hepg2,AAAS,38
hepg2,AARS,51
hepg2,AASDHPPT,25
hepg2,ABCE1,23
hepg2,ABCF1,64
hepg2,ABHD11,33
hepg2,ABHD17A,30
hepg2,ABT1,99
hepg2,ACIN1,35
hepg2,ACSS2,32
hepg2,ACTB,40
hepg2,ACTR10,23
hepg2,ACTR1B,42
hepg2,ACTR6,51
hepg2,ADAT2,29
hepg2,AFG3L2,30
hepg2,AHCTF1,50
hepg2,AIFM1,37
hepg2,AKIRIN2,75
hepg2,ALG1,26
hepg2,ALG13,30
hepg2,ANAPC10,34
hepg2,ANAPC13,54
hepg2,ANAPC5,57
hepg2,ANKRD17,17
hepg2,ANKRD49,42
hepg2,AP2A1,28
hepg2,AP2M1,27
hepg2,ARF4,21
hepg2,ARFRP1,31
hepg2,ARGLU1,36
hepg2,ARID3A,17
hepg2,ARL2,74
hepg2,ARL4D,38
hepg2,ARL6IP6,43
hepg2,ARPC3,30
hepg2,ARRB2,35
hepg2,ASCC3,55
hepg2,ASF1B,44
hepg2,ATP11B,62
hepg2,ATP2A2,54
hepg2,ATP5F1A,23
hepg2,ATP5ME,31
hepg2,ATP5MF,55
hepg2,ATP5PD,44
hepg2,ATP6V0B,51
hepg2,ATP6V0D1,49
hepg2,ATP6V1A,43
hepg2,ATP6V1D,25
hepg2,ATP6V1E1,26
hepg2,ATP6V1F,35
hepg2,ATP6V1G1,63
hepg2,ATR,96
hepg2,ATRIP,40
hepg2,AURKAIP1,54
hepg2,BANF1,23
hepg2,BARD1,47
hepg2,BCR,41
hepg2,BCS1L,36
hepg2,BDP1,22
hepg2,BET1,36
hepg2,BOD1L1,36
hepg2,BRCA1,44
hepg2,BRF1,62
hepg2,BRF2,46
hepg2,BRIP1,58
hepg2,BRIX1,89
hepg2,BRK1,27
hepg2,BTF3L4,72
hepg2,BUB3,14
hepg2,BUD23,28
hepg2,BYSL,41
hepg2,C17orf58,56
hepg2,C1D,28
hepg2,C9orf78,41
hepg2,CA5A,61
hepg2,CABIN1,56
hepg2,CALR,79
hepg2,CAMLG,25
hepg2,CARS,23
hepg2,CASC3,30
hepg2,CAST,13
hepg2,CBX1,47
hepg2,CCAR1,23
hepg2,CCDC137,24
hepg2,CCDC59,100
hepg2,CCDC6,396
hepg2,CCNB1,40
hepg2,CCND1,16
hepg2,CCND3,38
hepg2,CCNH,92
hepg2,CCNL1,28
hepg2,CCNQ,26
hepg2,CCP110,42
hepg2,CCT4,81
hepg2,CCT7,107
hepg2,CD2BP2,31
hepg2,CD3EAP,90
hepg2,CDC123,44
hepg2,CDC45,31
hepg2,CDC5L,25
hepg2,CDC6,66
hepg2,CDC73,54
hepg2,CDCA5,69
hepg2,CDIPT,51
hepg2,CDK11A,23
hepg2,CEBPG,33
hepg2,CENPA,38
hepg2,CENPN,35
hepg2,CENPT,67
hepg2,CEP192,24
hepg2,CEP68,37
hepg2,CEP85,57
hepg2,CFL1,33
hepg2,CHCHD1,33
hepg2,CHCHD2,36
hepg2,CHCHD4,60
hepg2,CHD4,25
hepg2,CHEK1,57
hepg2,CHMP4B,30
hepg2,CHMP5,29
hepg2,CHORDC1,52
hepg2,CHTOP,36
hepg2,CIAO1,57
