condition,idx,top_k,strategy,n_pred_cells,neighbor_conditions,neighbor_cosine,neighbor_train_cell_counts
ELP3,35,5,equal_neighbor,2000,POLR2L|TAF10|ERCC2|POLR3F|RPAP2,0.996802|0.99658|0.996354|0.9963|0.996208,55|38|116|156|373
EXOSC1,36,5,equal_neighbor,2000,KRR1|POP1|LAS1L|CWC15|UTP18,0.997826|0.99781|0.997744|0.997611|0.997607,398|82|75|144|59
FASTKD5,37,5,equal_neighbor,2000,SRRM1|RPUSD4|PPIE|DIMT1|INTS4,0.997085|0.996764|0.996208|0.995764|0.995687,151|118|39|83|47
FGFR1OP,38,5,equal_neighbor,2000,AAAS|AARS|AARS2|AASDHPPT|AATF,0|0|0|0|0,202|38|179|39|254
FNBP4,39,5,equal_neighbor,2000,CLASRP|KIAA1143|DNAJC8|CCDC59|RBM28,0.999465|0.999451|0.997694|0.995046|0.988283,114|179|267|100|63
GATA1,40,5,equal_neighbor,2000,SRF|ATF4|FOXL2|BRCA1|STAT5A,0.998348|0.998325|0.997702|0.997693|0.997672,120|59|152|87|170
GEMIN4,41,5,equal_neighbor,2000,CD2BP2|TGS1|RPS28|GEMIN8|PPIH,0.998057|0.997609|0.99715|0.997139|0.997015,119|147|257|85|105
GGPS1,42,5,equal_neighbor,2000,MVD|HMGCS1|RPL36AL|UROD|TAMM41,0.982515|0.982291|0.981469|0.980535|0.980173,101|216|143|194|118
GINS4,43,5,equal_neighbor,2000,WDHD1|MMS22L|RPA3|PALB2|GINS1,0.996847|0.996818|0.996647|0.996101|0.996045,175|54|158|95|181
GPKOW,44,5,equal_neighbor,2000,U2SURP|RBM17|RNPC3|CPSF1|MFAP1,0.999934|0.999218|0.999211|0.999188|0.998951,275|66|74|48|164
GPS1,45,5,equal_neighbor,2000,COPS6|SAE1|COPS3|COPS4|LRR1,0.996457|0.995573|0.994493|0.994455|0.994431,222|104|59|253|107
GTF2E2,46,5,equal_neighbor,2000,GTF2E1|POLR1E|RBM42|GEMIN7|SNRNP27,0.998199|0.997738|0.997341|0.997204|0.997131,176|202|68|127|42
HARS2,47,5,equal_neighbor,2000,SARS2|YARS2|PARS2|FARS2|IARS2,0.999893|0.999073|0.998998|0.998889|0.998871,150|172|66|39|185
HIST1H2AE,48,5,equal_neighbor,2000,AAAS|AARS|AARS2|AASDHPPT|AATF,0|0|0|0|0,202|38|179|39|254
HMGA1,49,5,equal_neighbor,2000,MYBBP1A|TFDP1|HINFP|FOXL2|TAF7,0.998079|0.997843|0.997582|0.997575|0.997505,106|140|157|152|84
KIF14,50,5,equal_neighbor,2000,PTK2|DNAJA3|PDPK1|WNK1|DDX6,0.997066|0.996213|0.996036|0.996016|0.995958,131|122|78|119|56
LSM2,51,5,equal_neighbor,2000,LSM3|LSM4|LSM7|SNRPG|POLR2G,0.999803|0.999617|0.999572|0.998594|0.998275,67|71|130|327|131
MARS2,52,5,equal_neighbor,2000,PARS2|LARS2|SARS2|IARS2|EARS2,0.99997|0.999017|0.999013|0.99845|0.99842,66|147|150|185|188
MAX,53,5,equal_neighbor,2000,E2F6|TFDP1|MZF1|THAP11|ZBTB17,0.998739|0.998358|0.998291|0.998247|0.997976,140|140|125|60|158
MBTPS2,54,5,equal_neighbor,2000,EIF2B5|MCM3AP|AKIRIN2|TAF10|AATF,0.995294|0.995042|0.994925|0.994827|0.99481,412|100|144|38|254
MED19,55,5,equal_neighbor,2000,MED22|MED4|MED28|MED20|MED6,0.999489|0.999269|0.999177|0.999168|0.999119,279|56|66|78|231
MED29,56,5,equal_neighbor,2000,MED22|MED4|MED20|MED6|MED28,0.999861|0.999648|0.999543|0.999467|0.998972,279|56|78|231|66
MMS19,57,5,equal_neighbor,2000,NAA15|GTF2F2|GTF2A2|MED17|MED7,0.997452|0.997306|0.997266|0.997201|0.997162,107|52|161|143|265
MNAT1,58,5,equal_neighbor,2000,GTF2H2C|CCNH|GTF2H2|GTF2H3|GTF2H1,0.998|0.997675|0.997382|0.996844|0.996683,124|75|142|72|409
MRPL32,59,5,equal_neighbor,2000,MRPS12|MRPL22|MRPL9|MRPS14|MRPS9,1|0.999985|0.999985|0.999985|0.999985,50|94|101|82|69
MRPL36,60,5,equal_neighbor,2000,MRPS18B|MRPL51|MRPL35|MRPL49|MRPL17,1|1|0.999976|0.999976|0.999931,56|104|156|36|96
MRPL44,61,5,equal_neighbor,2000,NOC4L|MRPL10|MRPL15|MRPL27|MRPL28,0.99636|0.996255|0.996255|0.996255|0.996255,32|96|42|94|42
MRPS18A,62,5,equal_neighbor,2000,MRPL16|MRPL37|MRPL14|MRPL2|MRPL24,0.999984|0.99995|0.999928|0.999928|0.999928,83|113|199|131|183
MYCBP,63,5,equal_neighbor,2000,ANKRD49|ECD|CEBPZ|NFATC2IP|PPRC1,0.997667|0.995358|0.994816|0.9948|0.994637,139|69|104|103|112
NAE1,64,5,equal_neighbor,2000,BUB1B|SDE2|LRR1|USP37|CDC23,0.990301|0.990142|0.990084|0.989722|0.989571,135|134|107|73|158
NARS,65,5,equal_neighbor,2000,AAAS|AARS|AARS2|AASDHPPT|AATF,0|0|0|0|0,202|38|179|39|254
NBAS,66,5,equal_neighbor,2000,UPF2|POLR2G|NCBP2|SCAP|LSM4,0.997028|0.995277|0.995042|0.995034|0.994952,133|131|765|132|71
NDUFA6,67,5,equal_neighbor,2000,NDUFB3|NDUFB8|NDUFB6|COX11|NDUFS3,0.995286|0.995172|0.995045|0.994893|0.994749,119|187|185|103|100
NDUFB4,68,5,equal_neighbor,2000,NDUFB3|NDUFB6|NDUFB8|NDUFB7|NDUFA8,0.999973|0.99865|0.998067|0.996734|0.995985,119|185|187|64|100
NEDD8,69,5,equal_neighbor,2000,PSMD13|COPS8|COPS3|RPS2|COPS4,0.994562|0.994248|0.994018|0.994002|0.993592,96|198|59|47|253
NELFA,70,5,equal_neighbor,2000,SUPT5H|WDR82|NELFE|TCERG1|VPS72,0.998848|0.998665|0.998633|0.998612|0.998284,367|86|66|93|95
NIFK,71,5,equal_neighbor,2000,BRIX1|SNRNP35|GEMIN7|RBM42|LUC7L3,0.998527|0.998463|0.998205|0.998156|0.997663,109|159|127|68|39
NOB1,72,5,equal_neighbor,2000,RCL1|PPIL4|RBM17|CWF19L2|CMTR1,0.997561|0.997224|0.996651|0.996482|0.996453,104|69|66|187|138
NOC3L,73,5,equal_neighbor,2000,PALB2|PPP1R8|GINS3|ORC6|SRRM2,0.993824|0.993306|0.993214|0.993201|0.993022,95|64|98|54|148
NSMCE2,74,5,equal_neighbor,2000,SMC5|NSMCE1|SMC6|DBF4|RBBP6,0.998251|0.997878|0.997797|0.99628|0.996073,115|60|113|104|70
NSUN4,75,5,equal_neighbor,2000,RBM42|BRIX1|SNRNP35|TRMT10C|TGS1,0.996217|0.995219|0.994624|0.994529|0.994485,68|109|159|83|147
ORC1,76,5,equal_neighbor,2000,MCM2|MCM5|RFC2|MCM6|MCM4,0.997488|0.997349|0.997325|0.997096|0.997055,114|73|85|84|80
PDRG1,77,5,equal_neighbor,2000,EIF3M|EIF3G|RPL36AL|PFDN1|EIF3D,0.987778|0.986351|0.985121|0.984979|0.983802,217|57|143|31|160
PEF1,78,5,equal_neighbor,2000,PDCD6|HGS|ATP6AP1|CDC42|CLTC,0.997234|0.995777|0.995637|0.995622|0.995555,181|96|114|62|129
PET117,79,5,equal_neighbor,2000,COA5|CENPN|MIS12|SHQ1|MZT1,0.984868|0.983071|0.981475|0.980858|0.980184,162|124|80|90|440
PFN1,80,5,equal_neighbor,2000,NCKAP1|ALDOA|RACGAP1|TLN1|DCTN1,0.994723|0.993824|0.993777|0.993721|0.993555,64|77|162|72|186
PHB2,81,5,equal_neighbor,2000,TPR|C1QBP|NUP62|OGT|RPL23,0.997676|0.997231|0.997171|0.996886|0.996882,71|185|86|31|354
PMPCB,82,5,equal_neighbor,2000,PMPCA|MIPEP|CHCHD4|ISCA2|GFER,0.996259|0.995211|0.992938|0.992826|0.992493,114|90|132|222|198
PNPT1,83,5,equal_neighbor,2000,METTL3|LSM4|LSM3|NCBP1|UPF1,0.997132|0.997056|0.997028|0.996896|0.996854,127|71|67|53|115
POLD1,84,5,equal_neighbor,2000,POLE2|POLD2|POLR2B|POLD3|POLR2I,0.997669|0.996693|0.996654|0.996632|0.996249,53|70|234|65|179
POP4,85,5,equal_neighbor,2000,RPP40|RPP30|POP5|RPP38|POP7,0.999683|0.999067|0.999047|0.998991|0.998772,78|97|50|49|209
PRELID1,86,5,equal_neighbor,2000,TRIAP1|NUP62|OPA1|HGS|PPIA,0.995491|0.9936|0.993461|0.993129|0.993112,56|86|53|96|147
PSMD9,87,5,equal_neighbor,2000,WDR77|MED22|TAF6|MED31|MED10,0.995601|0.995442|0.995427|0.995395|0.995357,37|279|111|35|454
PSTK,88,5,equal_neighbor,2000,RSRC2|GPN2|LSM12|BTF3L4|C19orf25,0.951693|0.901184|0.896588|0.876671|0.876671,87|42|50|121|158
RAD51C,89,5,equal_neighbor,2000,XRCC2|RAD51D|MCM4|MCM6|RAD51,0.997736|0.997676|0.997545|0.997523|0.997521,146|136|80|84|227
RARS,90,5,equal_neighbor,2000,AAAS|AARS|AARS2|AASDHPPT|AATF,0|0|0|0|0,202|38|179|39|254
REXO2,91,5,equal_neighbor,2000,PGS1|PPA2|ELAC2|PPP1R8|ADAT2,0.992332|0.991952|0.991765|0.991407|0.991329,103|61|82|64|84
RFC5,92,5,equal_neighbor,2000,RFC2|CHTF18|CDC7|BRIP1|PNKP,1|0.998131|0.997992|0.997838|0.9974,85|96|92|131|176
RPL24,93,5,equal_neighbor,2000,RPL28|RPL30|RPL31|RPL23A|RPL38,0.99908|0.998095|0.997826|0.997481|0.997071,46|299|251|83|168
RPL39,94,5,equal_neighbor,2000,RPL36A|RPL17|RPL30|RPL38|RPL15,0.995091|0.994577|0.994423|0.994187|0.994031,74|131|299|168|129
RPL41,95,5,equal_neighbor,2000,RPL36A|RPL17|RPL38|RPL27A|RPL15,0.99943|0.999369|0.998859|0.996684|0.996399,74|131|168|176|129
RPLP2,96,5,equal_neighbor,2000,RPL30|RPL28|RPL31|RPL23A|RPL38,0.997076|0.99675|0.996338|0.995625|0.995018,299|46|251|83|168
RPP14,97,5,equal_neighbor,2000,POP5|RPP30|RPP38|POP7|RPP40,0.999675|0.999655|0.99962|0.999326|0.999045,50|97|49|209|78
RPS3,98,5,equal_neighbor,2000,HDAC3|BRCA1|MTOR|OGT|ATF4,0.997938|0.997915|0.997796|0.997751|0.997608,51|87|93|31|59
RPS5,99,5,equal_neighbor,2000,RPS11|RPS18|RPS15A|RPS23|RPL31,0.998948|0.997499|0.997461|0.997113|0.996707,227|114|239|92|251
RPUSD3,100,5,equal_neighbor,2000,RPUSD4|DIMT1|UTP15|WDR75|HEATR1,0.999653|0.996944|0.996844|0.99666|0.996619,118|83|139|132|216
RRS1,101,5,equal_neighbor,2000,RRP7A|SSRP1|BRIX1|MRTO4|CPSF6,0.996571|0.995998|0.995982|0.995885|0.995797,40|473|109|65|43
RUVBL1,102,5,equal_neighbor,2000,INO80|DDX11|DDX1|CHD4|DDX5,0.998002|0.997589|0.997532|0.997361|0.997232,143|121|92|35|134
SAP18,103,5,equal_neighbor,2000,C1D|BCLAF1|ACTR6|CASP8AP2|E2F6,0.995987|0.995799|0.995772|0.995722|0.995646,146|46|104|192|140
SEC61B,104,5,equal_neighbor,2000,FAF2|TMEM258|UBAP1|SEC63|WDR83OS,0.995905|0.995086|0.993438|0.993326|0.993018,158|172|102|62|78
SEPHS2,105,5,equal_neighbor,2000,GMPPB|VARS2|CMPK1|GUK1|CDC123,0.992634|0.990791|0.990384|0.990341|0.990209,162|123|148|107|110
SLBP,106,5,equal_neighbor,2000,KRR1|RRP9|DNTTIP2|UTP18|FCF1,0.997015|0.99689|0.996774|0.996761|0.996697,398|92|235|59|225
SMC1A,107,5,equal_neighbor,2000,XRCC2|RAD51D|SMC3|MCM4|MCM3,0.998334|0.99811|0.996846|0.996843|0.996821,146|136|50|80|109
SNF8,108,5,equal_neighbor,2000,HGS|VPS25|CHMP3|UBE2D3|PTPN23,0.997644|0.997389|0.996673|0.996221|0.996179,96|73|119|127|132
SRPRB,109,5,equal_neighbor,2000,GET3|CENPE|KIF4A|LSG1|RAB18,0.994418|0.993963|0.993935|0.99332|0.992984,106|171|126|106|39
SRSF7,110,5,equal_neighbor,2000,PARN|SRRT|C1D|SRSF10|LSM10,0.997259|0.99707|0.996996|0.996941|0.99672,117|260|146|124|134
STRAP,111,5,equal_neighbor,2000,GEMIN5|RPL7|RPL35|INTS9|CPSF6,0.994488|0.994368|0.994306|0.994295|0.994268,128|230|34|222|43
SUGP1,112,5,equal_neighbor,2000,ZRANB2|RBM17|RBM48|U2SURP|CPSF1,0.999408|0.999117|0.998986|0.998862|0.998369,38|66|55|275|48
SUPT4H1,113,5,equal_neighbor,2000,SUPT5H|TCERG1|NELFE|VPS72|PTMA,0.999046|0.998043|0.997915|0.997864|0.997852,367|93|66|95|145
SYS1,114,5,equal_neighbor,2000,SEC61G|COG2|SEC63|COG4|COPE,0.994599|0.994155|0.99387|0.992431|0.992061,84|332|62|124|133
TBL3,115,5,equal_neighbor,2000,RRP9|UTP18|DNTTIP2|FCF1|MPHOSPH10,0.999902|0.999832|0.999827|0.999646|0.999487,92|59|235|225|38
TFAM,116,5,equal_neighbor,2000,POLRMT|GTF3C2|KIN|SNAPC3|RRN3,0.99685|0.995747|0.995621|0.995505|0.994912,208|110|144|201|38
TIPIN,117,5,equal_neighbor,2000,RAD17|RFC3|DBF4|RBBP8|RPA2,0.997508|0.996963|0.99681|0.996808|0.996767,121|211|104|114|177
TPRKB,118,5,equal_neighbor,2000,URM1|WDR4|TRMT6|SCAF1|HNRNPR,0.996588|0.99494|0.994932|0.994198|0.994027,104|323|110|158|138
TPX2,119,5,equal_neighbor,2000,ANLN|CEP85|KATNB1|SSBP1|ECT2,0.995641|0.995301|0.994437|0.993918|0.993549,93|124|171|116|48
TSG101,120,5,equal_neighbor,2000,VPS25|HGS|UBE2D3|TPR|RPL23,0.997551|0.997493|0.997271|0.997143|0.997099,73|96|127|71|354
TXN,121,5,equal_neighbor,2000,PPP1CB|PDCD5|ALDOA|MLST8|PPIA,0.994547|0.993943|0.993506|0.993501|0.993437,124|183|77|68|147
UBA3,122,5,equal_neighbor,2000,UBE2H|SENP6|URM1|DPH2|RPL36AL,0.994924|0.989251|0.987683|0.987448|0.987433,179|81|104|161|143
UBQLN4,123,5,equal_neighbor,2000,TFIP11|NPLOC4|RPS26|SKP2|TERF2,0.995593|0.995109|0.99478|0.994634|0.994543,58|52|75|192|47
UBR5,124,5,equal_neighbor,2000,BRCA1|RNF8|HDAC3|C1QBP|HUWE1,0.997245|0.997058|0.997049|0.997034|0.99699,87|167|51|185|77
UFM1,125,5,equal_neighbor,2000,UBA5|MIOS|EIF2B5|COPS3|CUL1,0.992712|0.991768|0.99168|0.991469|0.991169,91|160|412|59|181
UQCC2,126,5,equal_neighbor,2000,CLNS1A|MED28|ABT1|CHCHD2|RPS4X,0.993384|0.993376|0.993136|0.993057|0.99305,49|66|92|81|167
UQCRB,127,5,equal_neighbor,2000,COX6C|UQCRH|MICOS10|COX5A|DNAJC11,0.996377|0.994844|0.992548|0.992203|0.991972,115|57|83|80|41
UQCRC2,128,5,equal_neighbor,2000,PMPCA|COQ4|PGS1|MRPL17|SDHC,0.993991|0.99376|0.991606|0.99053|0.990499,114|142|103|96|91
URB2,129,5,equal_neighbor,2000,NLE1|SDAD1|HJURP|RPS12|PDCD2,0.993487|0.988349|0.987399|0.987048|0.986787,396|210|109|400|69
VPS28,130,5,equal_neighbor,2000,VPS25|CHMP3|HGS|PTPN23|CLTC,0.997512|0.996799|0.996738|0.9963|0.996298,73|119|96|132|129
VPS35,131,5,equal_neighbor,2000,HGS|RAC1|SOD1|ATP6AP2|CYFIP1,0.997524|0.996974|0.996799|0.996781|0.996582,96|160|165|164|105
VPS41,132,5,equal_neighbor,2000,VPS33A|AP2S1|STX5|CHMP4B|UBAP1,0.996175|0.995643|0.995453|0.995107|0.994904,173|98|48|68|102
YEATS2,133,5,equal_neighbor,2000,DR1|TADA3|WDR5|E2F6|ACTR6,0.997311|0.996931|0.996912|0.996593|0.996238,103|139|75|140|104
ZMAT5,134,5,equal_neighbor,2000,SNRNP27|SNRPC|SNRNP25|SNRNP48|TXNL4B,0.997898|0.997898|0.997867|0.997867|0.997596,42|30|125|179|129
ZNHIT3,135,5,equal_neighbor,2000,SSU72|SFSWAP|TAF1B|SF3B5|MED22,0.996993|0.996276|0.99623|0.995904|0.995837,68|145|92|69|279
